,name,winPlace,kills,Map,Time
0,DBC Swoldier,14,0,Savage_Main,2019-03-03T19:45:21Z
1,OakDawGz,11,0,Savage_Main,2019-03-03T19:45:21Z
2,KoTa bwr,20,0,Savage_Main,2019-03-03T19:45:21Z
3,SON OF BORG,6,0,Savage_Main,2019-03-03T19:45:21Z
4,J LEEZY v2,4,1,Savage_Main,2019-03-03T19:45:21Z
5,BCBxTh3 H0SS,2,0,Savage_Main,2019-03-03T19:45:21Z
6,Agent00Slevin,20,1,Savage_Main,2019-03-03T19:45:21Z
7,BJZ10,15,3,Savage_Main,2019-03-03T19:45:21Z
8,blintzboy406,4,1,Savage_Main,2019-03-03T19:45:21Z
9,SavageKing022,9,0,Savage_Main,2019-03-03T19:45:21Z
10,TippierBuckle95,18,0,Savage_Main,2019-03-03T19:45:21Z
11,BradenAwesome22,7,0,Savage_Main,2019-03-03T19:45:21Z
12,ppdoyouloveme,1,11,Savage_Main,2019-03-03T19:45:21Z
13,xCAPnCrunch18x,21,0,Savage_Main,2019-03-03T19:45:21Z
14,Damita J0,17,0,Savage_Main,2019-03-03T19:45:21Z
15,aG BR3AZ,5,0,Savage_Main,2019-03-03T19:45:21Z
16,Drakis Knight,11,0,Savage_Main,2019-03-03T19:45:21Z
17,Pillowtoe82,18,1,Savage_Main,2019-03-03T19:45:21Z
18,YukonSmoke,22,0,Savage_Main,2019-03-03T19:45:21Z
19,DreadfulGecko,16,0,Savage_Main,2019-03-03T19:45:21Z
20,BLiTz5,23,0,Savage_Main,2019-03-03T19:45:21Z
21,Kaos 821x,10,0,Savage_Main,2019-03-03T19:45:21Z
22,L2K REL999,5,1,Savage_Main,2019-03-03T19:45:21Z
23,kez the pro XD,21,0,Savage_Main,2019-03-03T19:45:21Z
24,Darth Gayder,12,0,Savage_Main,2019-03-03T19:45:21Z
25,SL0SHER,11,0,Savage_Main,2019-03-03T19:45:21Z
26,L2K Blablets,19,0,Savage_Main,2019-03-03T19:45:21Z
27,KnightFox66,22,0,Savage_Main,2019-03-03T19:45:21Z
28,KSA Sinless96,4,4,Savage_Main,2019-03-03T19:45:21Z
29,ddaddydolla,20,0,Savage_Main,2019-03-03T19:45:21Z
30,xCAPnPlanet18x,21,0,Savage_Main,2019-03-03T19:45:21Z
31,DBC Dippyy,14,4,Savage_Main,2019-03-03T19:45:21Z
32,GhostlyNinja69,8,4,Savage_Main,2019-03-03T19:45:21Z
33,Tankindebros,21,0,Savage_Main,2019-03-03T19:45:21Z
34,docshankle,7,0,Savage_Main,2019-03-03T19:45:21Z
35,X DarthSucks X,12,0,Savage_Main,2019-03-03T19:45:21Z
36,stonedjibby,6,0,Savage_Main,2019-03-03T19:45:21Z
37,Nutshelll,3,8,Savage_Main,2019-03-03T19:45:21Z
38,lookbehindyou9,1,1,Savage_Main,2019-03-03T19:45:21Z
39,L2K BOENDER,5,0,Savage_Main,2019-03-03T19:45:21Z
40,Dablindsquirrel,9,2,Savage_Main,2019-03-03T19:45:21Z
41,StrangeCrown223,10,1,Savage_Main,2019-03-03T19:45:21Z
42,SavageRanger333,15,0,Savage_Main,2019-03-03T19:45:21Z
43,MONEY0306,10,1,Savage_Main,2019-03-03T19:45:21Z
44,ltsSCOOBY,16,1,Savage_Main,2019-03-03T19:45:21Z
45,FearTheWine,3,9,Savage_Main,2019-03-03T19:45:21Z
46,SilverBullet198,17,0,Savage_Main,2019-03-03T19:45:21Z
47,L2K KeeefyG83,19,0,Savage_Main,2019-03-03T19:45:21Z
